post_id,platform,post_text,hashtags,timestamp,image_url,likes,comments,author,view_count,duration,channel_id,url,scraped_at
vdRp_w9f-qM,youtube,"I can't STOP reading these Machine Learning Books!

Get notified of the free Python course on the home page at https://www.coursesfromnick.com Sign up for the Full Stack course here and use YOUTUBE50 to get 50% off: https://www.coursesfromnick.com/bundl... Hopefully you enjoyed this video. 💼 Find AWESOME ML Jobs: https://www.jobsfromnick.com Oh, and don't forget to connect with me! LinkedIn: https://bit.ly/324Epgo Facebook: https://bit.ly/3mB1sZD GitHub: https://bit.ly/3mDJllD Patreon: https://bit.ly/2OCn3UW Join the Discussion on Discord: https://bit.ly/3dQiZsV Happy coding! Nick P.s. Let me know how you go and drop a comment if you need a hand!","machinelearning,python,datascience",2023-01-24T02:32:13Z,https://i.ytimg.com/vi/vdRp_w9f-qM/maxresdefault.jpg,58384,197,Nicholas Renotte,830161,PT26S,UCHXa4OpASJEwrHrLeIzw7Yg,https://www.youtube.com/watch?v=vdRp_w9f-qM,2025-05-18T10:20:35.098736
ukzFI9rgwfU,youtube,"Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2024 | Simplilearn

🔥Artificial Intelligence Engineer (IBM) - https://www.simplilearn.com/masters-in-artificial-intelligence?utm_campaign=ukzFI9rgwfU&utm_medium=DescriptionFirstFold&utm_source=Youtube 🔥IITK - Professional Certificate Course in Generative AI and Machine Learning (India Only) - https://www.simplilearn.com/iitk-professional-certificate-course-ai-machine-learning?utm_campaign=ukzFI9rgwfU&utm_medium=DescriptionFirstFold&utm_source=Youtube 🔥Purdue - Post Graduate Program in AI and Machine Learning - https://www.simplilearn.com/pgp-ai-machine-learning-certification-training-course?utm_campaign=ukzFI9rgwfU&utm_medium=DescriptionFirstFold&utm_source=Youtube 🔥IITG - Professional Certificate Program in Generative AI and Machine Learning (India Only) - https://www.simplilearn.com/iitg-generative-ai-machine-learning-program?utm_campaign=ukzFI9rgwfU&utm_medium=DescriptionFirstFold&utm_source=Youtube 🔥Purdue - Applied Generative AI Specialization - https://www.simplilearn.com/applied-ai-course?utm_campaign=ukzFI9rgwfU&utm_medium=DescriptionFirstFold&utm_source=Youtube This Machine Learning basics video will help you understand what Machine Learning is, what are the types of Machine Learning - supervised, unsupervised & reinforcement learning, how Machine Learning works with simple examples, and will also explain how Machine Learning is being used in various industries. Machine learning is a core sub-area of artificial intelligence; it enables computers to get into self-learning mode without being explicitly programmed. When exposed to new data, these computer programs are enabled to learn, grow, change, and develop by themselves. So, the iterative aspect of machine learning is the ability to adapt to new data independently. This is possible as programs learn from previous computations and use ""pattern recognition"" to produce reliable results. The below topics are explained in this Machine Learning basics video: 1. What is Machine Learning? ( 00:21 ) 2. Types of Machine Learning ( 02:43 ) 2. What is Supervised Learning? ( 02:53 ) 3. What is Unsupervised Learning? ( 03:46 ) 4. What is Reinforcement Learning? ( 04:37 ) 5. Machine Learning applications ( 06:25 ) Subscribe to our channel for more Machine Learning Tutorials: https://www.youtube.com/user/Simplilearn?sub_confirmation=1 Download the Machine Learning Career Guide to explore and step into the exciting world of Machine Learning and follow the path toward your dream career- https://bit.ly/3eLuTUo Watch more videos on Machine Learning: https://www.youtube.com/watch?v=7JhjINPwfYQ&list=PLEiEAq2VkUULYYgj13YHUWmRePqiu8Ddy ➡️ About Artificial Intelligence Engineer This Artificial Intelligence Engineer course Created in partnership with IBM, this course introduces students to blended learning and prepares them to be AI and Data Science specialists. In Armonk, New York, IBM is a significant cognitive service and integrated cloud solution firm that provides many technology and consulting solutions. IBM is a leader in AI and Machine Learning technology verticals for 2021. This AI masters course will prepare students for Artificial Intelligence and Data Analytics careers. ✅ Key Features - Add the IBM Advantage to your Learning - 25 Industry-relevant Projects and Integrated labs - Immersive Learning Experience - Simplilearn's JobAssist helps you get noticed by top hiring companies ✅ Tools Covered - ChatGPT - Flask - Matplotlib - django - Python - Numpy - Pandas - SciPy - Keras - OpenCV - And Many More… 👉Learn More at: https://www.simplilearn.com/pgp-ai-machine-learning-certification-training-course?utm_campaign=MachineLearningscribe&utm_medium=DescriptionFirstFold&utm_source=youtube","MachineLearning,WhatIsMachineLearning,MachineLearningTutorial,MachineLearningBasics,MachineLearningTutorialForBeginners,Simplilearn",2018-09-19T14:57:02Z,https://i.ytimg.com/vi/ukzFI9rgwfU/maxresdefault.jpg,63450,2125,Simplilearn,5019854,PT7M52S,UCsvqVGtbbyHaMoevxPAq9Fg,https://www.youtube.com/watch?v=ukzFI9rgwfU,2025-05-18T10:20:36.291454
_3pgLrYWZfo,youtube,"Roadmap to learn machine learning #math #programming #database #machinelearning #engineer

",,2024-02-15T06:55:00Z,https://i.ytimg.com/vi/_3pgLrYWZfo/maxresdefault.jpg,4822,37,Math360,299566,PT2S,UCYwB9QWdSIQvTVBVUUibfgw,https://www.youtube.com/watch?v=_3pgLrYWZfo,2025-05-18T10:20:37.047996
qYNweeDHiyU,youtube,"AI, Machine Learning, Deep Learning and Generative AI Explained

Want to learn about AI agents and assistants? Register for Virtual Agents Day here → https://ibm.biz/BdaAVa Want to play with the technology yourself? Explore our interactive demo → https://ibm.biz/BdKSer Join Jeff Crume as he dives into the distinctions between Artificial Intelligence (AI), Machine Learning (ML), Deep Learning (DL), and Foundation Models and how these technologies have evolved over time. He also explores the latest advancements in Generative AI, including large language models, chatbots, and deepfakes - and clarifies common misconceptions, simplifies complex concepts, and discusses the impact these technologies have on various fields. AI news moves fast. Sign up for a monthly newsletter for AI updates from IBM → https://ibm.biz/BdKSei",,2024-08-05T11:00:52Z,https://i.ytimg.com/vi/qYNweeDHiyU/maxresdefault.jpg,42497,1031,IBM Technology,1654886,PT10M1S,UCKWaEZ-_VweaEx1j62do_vQ,https://www.youtube.com/watch?v=qYNweeDHiyU,2025-05-18T10:20:38.201508
9gGnTQTYNaE,youtube,"What is Machine Learning?

Learn about watsonx: https://ibm.biz/BdvxRR What is Machine Learning and how do businesses leverage it today? How does Machine Learning differ from Artificial Intelligence (AI) and Deep Learning, or are they all the same? In this lightboard video, Luv Aggarwal with IBM Cloud, answers these questions and many more as he visually explains what Machine Learning is, how it compares to AI and Deep Learning, as well as why and how an enterprise would use a Machine Learning solution. Chapters 0:00 - Intro 0:17 - Differences between Machine Learning, AI, and Deep Learning 1:32 - Supervised Learning 4:26 - Unsupervised Learning 6:38 - Reinforcement Learning 7:44 - Summary","MachineLearning,AI,DeepLearning,watsonx",2021-07-14T14:07:15Z,https://i.ytimg.com/vi/9gGnTQTYNaE/maxresdefault.jpg,5049,74,IBM Technology,284614,PT8M23S,UCKWaEZ-_VweaEx1j62do_vQ,https://www.youtube.com/watch?v=9gGnTQTYNaE,2025-05-18T10:20:39.220928
PeMlggyqz0Y,youtube,"Machine Learning Explained in 100 Seconds

Machine Learning is the process of teaching a computer how perform a task with out explicitly programming it. The process feeds algorithms with large amounts of data to gradually improve predictive performance. 🔗 Resources Machine Learning Tutorials https://fireship.io/tags/machine-learning/ What is ML https://www.ibm.com/cloud/learn/machine-learning Neural Networks https://towardsdatascience.com/a-beginners-guide-to-convolutional-neural-networks-cnns-14649dbddce8 ML Wiki https://en.wikipedia.org/wiki/Machine_learning 🔥 Watch more with Fireship PRO Upgrade to Fireship PRO at https://fireship.io/pro Use code lORhwXd2 for 25% off your first payment. 🎨 My Editor Settings - Atom One Dark - vscode-icons - Fira Code Font Topics Covered - Convolutional Neural Networks - Machine Learning Basics - How Data Science Works - Big Data and Feature Engineering - Artificial Intelligence History - Supervised Machine Learning","ai,python,100SecondsOfCode",2021-09-09T17:31:56Z,https://i.ytimg.com/vi/PeMlggyqz0Y/maxresdefault.jpg,33036,498,Fireship,786153,PT2M35S,UCsBjURrPoezykLs9EqgamOA,https://www.youtube.com/watch?v=PeMlggyqz0Y,2025-05-18T10:20:40.419831
GXxjd1za6jk,youtube,"Learning Machine Learning has never been easier #shorts #machinelearning #statistics #datascience

Introduction to Statistical Learning: https://statlearning.com Take my courses at https://mlnow.ai/! Best Courses for Analytics: --------------------------------------------------------------------------------------------------------- + IBM Data Science (Python): https://bit.ly/3Rn00ZA + Google Analytics (R): https://bit.ly/3cPikLQ + SQL Basics: https://bit.ly/3Bd9nFu Best Courses for Programming: --------------------------------------------------------------------------------------------------------- + Data Science in R: https://bit.ly/3RhvfFp + Python for Everybody: https://bit.ly/3ARQ1Ei + Data Structures & Algorithms: https://bit.ly/3CYR6wR Best Courses for Machine Learning: --------------------------------------------------------------------------------------------------------- + Math Prerequisites: https://bit.ly/3ASUtTi + Machine Learning: https://bit.ly/3d1QATT + Deep Learning: https://bit.ly/3KPfint + ML Ops: https://bit.ly/3AWRrxE Best Courses for Statistics: --------------------------------------------------------------------------------------------------------- + Introduction to Statistics: https://bit.ly/3QkEgvM + Statistics with Python: https://bit.ly/3BfwejF + Statistics with R: https://bit.ly/3QkicBJ Best Courses for Big Data: --------------------------------------------------------------------------------------------------------- + Google Cloud Data Engineering: https://bit.ly/3RjHJw6 + AWS Data Science: https://bit.ly/3TKnoBS + Big Data Specialization: https://bit.ly/3ANqSut More Courses: --------------------------------------------------------------------------------------------------------- + Tableau: https://bit.ly/3q966AN + Excel: https://bit.ly/3RBxind + Computer Vision: https://bit.ly/3esxVS5 + Natural Language Processing: https://bit.ly/3edXAgW + IBM Dev Ops: https://bit.ly/3RlVKt2 + IBM Full Stack Cloud: https://bit.ly/3x0pOm6 + Object Oriented Programming (Java): https://bit.ly/3Bfjn0K + TensorFlow Advanced Techniques: https://bit.ly/3BePQV2 + TensorFlow Data and Deployment: https://bit.ly/3BbC5Xb + Generative Adversarial Networks / GANs (PyTorch): https://bit.ly/3RHQiRj Become a Member of the Channel! https://bit.ly/3oOMrVH Follow me on LinkedIn! https://www.linkedin.com/in/greghogg/","machinelearning,datascience,statistics,datascience",2022-04-20T18:16:10Z,https://i.ytimg.com/vi/GXxjd1za6jk/maxresdefault.jpg,57077,284,Greg Hogg,1047161,PT28S,UCJublDh2UsiIKsAE1553miw,https://www.youtube.com/watch?v=GXxjd1za6jk,2025-05-18T10:20:41.180390
i_LwzRVP7bg,youtube,"Machine Learning for Everybody - Full Course

Learn Machine Learning in a way that is accessible to absolute beginners. You will learn the basics of Machine Learning and how to use TensorFlow to implement many different concepts. ✏️ Kylie Ying developed this course. Check out her channel: https://www.youtube.com/c/YCubed ⭐️ Code and Resources ⭐️ 🔗 Supervised learning (classification/MAGIC): https://colab.research.google.com/drive/16w3TDn_tAku17mum98EWTmjaLHAJcsk0?usp=sharing 🔗 Supervised learning (regression/bikes): https://colab.research.google.com/drive/1m3oQ9b0oYOT-DXEy0JCdgWPLGllHMb4V?usp=sharing 🔗 Unsupervised learning (seeds): https://colab.research.google.com/drive/1zw_6ZnFPCCh6mWDAd_VBMZB4VkC3ys2q?usp=sharing 🔗 Dataets (add a note that for the bikes dataset, they may have to open the downloaded csv file and remove special characters) 🔗 MAGIC dataset: https://archive.ics.uci.edu/ml/datasets/MAGIC+Gamma+Telescope 🔗 Bikes dataset: https://archive.ics.uci.edu/ml/datasets/Seoul+Bike+Sharing+Demand 🔗 Seeds/wheat dataset: https://archive.ics.uci.edu/ml/datasets/seeds 🏗 Google provided a grant to make this course possible. ❤️ Support for this channel comes from our friends at Scrimba - the coding platform that's reinvented interactive learning: https://scrimba.com/freecodecamp ⭐️ Contents ⭐️ ⌨️ (0:00:00) Intro ⌨️ (0:00:58) Data/Colab Intro ⌨️ (0:08:45) Intro to Machine Learning ⌨️ (0:12:26) Features ⌨️ (0:17:23) Classification/Regression ⌨️ (0:19:57) Training Model ⌨️ (0:30:57) Preparing Data ⌨️ (0:44:43) K-Nearest Neighbors ⌨️ (0:52:42) KNN Implementation ⌨️ (1:08:43) Naive Bayes ⌨️ (1:17:30) Naive Bayes Implementation ⌨️ (1:19:22) Logistic Regression ⌨️ (1:27:56) Log Regression Implementation ⌨️ (1:29:13) Support Vector Machine ⌨️ (1:37:54) SVM Implementation ⌨️ (1:39:44) Neural Networks ⌨️ (1:47:57) Tensorflow ⌨️ (1:49:50) Classification NN using Tensorflow ⌨️ (2:10:12) Linear Regression ⌨️ (2:34:54) Lin Regression Implementation ⌨️ (2:57:44) Lin Regression using a Neuron ⌨️ (3:00:15) Regression NN using Tensorflow ⌨️ (3:13:13) K-Means Clustering ⌨️ (3:23:46) Principal Component Analysis ⌨️ (3:33:54) K-Means and PCA Implementations 🎉 Thanks to our Champion and Sponsor supporters: 👾 Raymond Odero 👾 Agustín Kussrow 👾 aldo ferretti 👾 Otis Morgan 👾 DeezMaster -- Learn to code for free and get a developer job: https://www.freecodecamp.org Read hundreds of articles on programming: https://freecodecamp.org/news",,2022-09-26T16:00:28Z,https://i.ytimg.com/vi/i_LwzRVP7bg/maxresdefault.jpg,87818,1929,freeCodeCamp.org,8668262,PT3H53M53S,UC8butISFwT-Wl7EV0hUK0BQ,https://www.youtube.com/watch?v=i_LwzRVP7bg,2025-05-18T10:20:42.289761
FbtYxPUrhq8,youtube,"AI vs ML vs Generative AI

Comp Sci vs AI vs ML vs Gen AI ‼️","ai,tech,ml,fyp",2025-03-14T21:00:11Z,https://i.ytimg.com/vi/FbtYxPUrhq8/maxresdefault.jpg,2657,36,Sajjaad Khader,76739,PT47S,UC7zZ2-Q_oxbUaoMVL0z51wg,https://www.youtube.com/watch?v=FbtYxPUrhq8,2025-05-18T10:20:43.016389
5xp0taGM3Kg,youtube,"Andrew Ng's Secret to Mastering Machine Learning - Part 1 #shorts

start your deep learning journey with andrew ng here: https://shorturl.at/tVYLW in this 2 part series Andrew Ng explains how he would learn machine learning Follow me on tiktok: https://www.tiktok.com/@datasensei1 My instagram: https://www.instagram.com/datasensei_21/reels/","lexfridman,lexfridmanpodcast,datascience,machinelearning,deeplearning,study",2023-03-14T21:39:04Z,https://i.ytimg.com/vi/5xp0taGM3Kg/maxresdefault.jpg,30842,134,Data Sensei,658099,PT48S,UCsxJ9QfYa6qRbSA7TYnxk1A,https://www.youtube.com/watch?v=5xp0taGM3Kg,2025-05-18T10:20:44.254726
CxT5DVZmWCU,youtube,"In Simple Terms - AI vs Machine Learning vs Deep Learning

","artificialintelligence,machinelearning,deeplearning",2023-12-20T08:00:51Z,https://i.ytimg.com/vi/CxT5DVZmWCU/maxresdefault.jpg,4029,7,CareerRide,112098,PT39S,UCjDHKp8AGNucJmEBMCk0NGg,https://www.youtube.com/watch?v=CxT5DVZmWCU,2025-05-18T10:20:45.226984
7gEzEAIELgQ,youtube,"Machine Learning Explained🔥in 30 Seconds. #shorts #machinelearning

In this video, we learn about Machine learning in 30 seconds: What is meant by machine learning? Just like a toddler learns that fire is hot by touching it, machine learning helps computers learn from examples. For beginners, if you show a machine many pictures of dogs, it learns to spot dogs. Show it a picture of a cat, and it'll know it's not a dog but won't identify it as a cat. This introduction to machine learning helps you understand how machine learning programs work. If you want to learn tech in just 30 Seconds, don't forget to follow ""Error Makes Clever.""","machinelearning,ai,errormakesclever",2023-05-17T14:45:24Z,https://i.ytimg.com/vi/7gEzEAIELgQ/maxresdefault.jpg,41976,153,Error Makes Clever,439221,PT49S,UCwr-evhuzGZgDFrq_1pLt_A,https://www.youtube.com/watch?v=7gEzEAIELgQ,2025-05-18T10:20:46.506210
7IgVGSaQPaw,youtube,"The Complete Machine Learning Roadmap

Go from zero to a machine learning engineer in 12 months. This step-by-step roadmap covers the essential skills you must learn to become a machine learning engineer in 2024. ❤️ Join this channel to get access to perks: https://www.youtube.com/channel/UCWv7vMbMWH4-V0ZXdmDpPBA/join Download the FREE roadmap PDF here: https://mosh.link/machine-learning-roadmap ✋ Stay connected - Complete courses: https://codewithmosh.com - Twitter: https://twitter.com/moshhamedani - Facebook: https://www.facebook.com/programmingwithmosh/ - Instagram: https://www.instagram.com/codewithmosh.official/ - LinkedIn: https://www.linkedin.com/school/codewithmosh/ 🔗 Other roadmaps https://youtu.be/Tef1e9FiSR0?si=QpVnZ_o9-DAXzT71 https://youtu.be/OeEHJgzqS1k?si=qd0ZIqAzUpZQn6BX 📚 Tutorials https://youtu.be/_uQrJ0TkZlc?si=ZhlCrQs1SkaPNVa8 https://youtu.be/8JJ101D3knE?si=OGTuS35LQqSunuhh https://youtu.be/BBpAmxU_NQo?si=dm-ZCPxVBYWS1Qhn https://youtu.be/7S_tz1z_5bA?si=QL7s_M2Ao90RDwG8 📖 Chapters 00:00 - Introduction 00:20 - Programming Languages 00:42 - Version Control 01:03 - Data Structures & Algorithms 01:35 - SQL 01:55 - The Complete Roadmap PDF 02:19 - Mathematics & Statistics 02:40 - Data Handling 03:15 - Machine Learning Fundamentals 03:57 - Advanced Topics 04:28 - Model Deployment","machinelearning,ai,datascience,coding,programming",2024-07-18T13:00:06Z,https://i.ytimg.com/vi/7IgVGSaQPaw/maxresdefault.jpg,17726,521,Programming with Mosh,535390,PT5M25S,UCWv7vMbMWH4-V0ZXdmDpPBA,https://www.youtube.com/watch?v=7IgVGSaQPaw,2025-05-18T10:20:48.077272
